index,caption
0,Two young guys with shaggy hair look at their hands while hanging out in the yard .
1,Several men in hard hats are operating a giant pulley system .
2,A child in a pink dress is climbing up a set of stairs in an entry way .
3,Someone in a blue shirt and hat is standing on stair and leaning against a window .
4,Two men  one in a gray shirt  one in a black shirt  standing near a stove .
5,Two people in the photo are playing the guitar and the other is poking at him .
6,A man sits in a chair while holding a large stuffed animal of a lion .
7,A girl is on rollerskates talking on her cellphone standing in a parking lot .
8,An asian man wearing a black suit stands near a dark-haired woman and a brown-haired woman .
9,Two men in Germany jumping over a rail at the same time without shirts .
10,Five ballet dancers caught mid jump in a dancing studio with sunlight coming through a window .
11,Three young men and a young woman wearing sneakers are leaping in midair at the top of a flight of concrete stairs .
12,A black dog and a white dog with brown spots are staring at each other in the street .
13,A man with reflective safety clothes and ear protection drives a John Deere tractor on a road .
14,Some women are standing in front of a bus with buildings behind it .
15,A young woman with dark hair and wearing glasses is putting white powder on a cake using a sifter .
16,A small girl in the grass plays with fingerpaints in front of a white canvas with a rainbow on it .
17,a man sleeping on a bench outside with a white and black dog sitting next to him .
18,A group of adults  inside a home  sitting on chairs arranged in a circle  playing a type of musical instruments .
19,Two women  both wearing glasses  are playing clarinets and an elderly woman is playing a stringed instrument .
20,A person in gray stands alone on a structure outdoors in the dark .
21,A man in a white t-shirt looks toward the camera surrounded by a crowd near a metro station .
22,A man with a goatee in a black shirt and white latex gloves is using a tattoo gun to place a tattoo on someone 's back .
23,two children  a girl and a boy are practicing their writing .
24,A man in a blue hard hat and orange safety vest stands in an intersection while holding a flag .
25,The man with pierced ears is wearing glasses and an orange hat .
26,A person with long gray hair has a beret with beige and white wearing a blue raincoat is painting a marketplace scenery surrounded by other artists and paintings .
27,A man stands on one foot while holding on to a waste basket .
28,A small child grips onto the red ropes at the playground .
29,Young man in jacket holding a toothpick with something on the end of it
30,Young blond man in a blue and yellow jacket smiling while standing in front of a net .
31,A man with a baseball cap and black jacket stands in a bathroom while holding a coffee mug .
32,Five people walking with a multicolored sky in the background .
33,A man with black hair sits in a restaurant with a glass of beer .
34,A black and white dog is running in a grassy garden surrounded by a white fence .
35,An officer in a reflective vest stands at the front of his van with his dog .
36," The "" white out "" conditions of snow on the ground seem to almost obliverate the details of a man dressed for the cold weather in a heavy jacket and red hat riding a bicycle in a suburban neighborhood ."
37,Five men  uniformly dressed in white shirts  tie and black slacks converse at the back of an open van .
38,A tan man with a backwards hat looks at the camera while walking through a factory .
39,A caucasian man wearing a short-sleeved black shirt and a dark-skinned woman wearing a sleeveless dress are working at a conveyor .
40,Man wearing a blue and white outfit  holding a broom  with a traditional Asian architecture in the background .
41,two men in florescent vests are standing next to parked cars in front of a small building while one of them converses with a driver and a woman on a bike is seen riding by
42,A little girl in a pink shirt and a little girl in an orange shirt sitting in the grass .
43,A person in tan pants is inside a silver mobile object while people watch .
44,A man in black approaches a strange silver object containing a person  while many onlookers observe from behind a roped off barrier .
45,bride and groom walking side by side out of focus on pathway next to brick building .
46,A little boy plays with a Nintendo GameCube controller inside a McDonald 's .
47,White dog with brown ears standing near water with head turned to one side .
48,A group of people picnicking at picnic tables in front of a playground .
49,Two asian or spanish people  a woman and a man  sitting together in front of a glass window as cars pass .
50,Women are seated at a picnic table eating  while a man in a white t-shirt and a yellow and orange balloon design on his head stands in the background .
51,A young female student performing a downward kick to break a board held by her Karate instructor .
52,Two people are demonstrating martial arts to a crowd and jumping over three youngsters who are crouched on the mat .
53,People on two balconies and a man climbing up a pipe towards the lower balcony getting liquid poured on him .
54,A man with a red jacket is shielding himself from the sun trying to read a piece of paper .
55,Two men are carrying children on their backs down the street on a sunny day in a nice neighborhood .
56,Smiling boy in white shirt and blue jeans in front of rock wall with man in overalls behind him .
57,A mottled black and gray dog in a blue collar jumping over a fallen tree .
